g1,g2,g3,g4,g5,l1,Geometry
1.0,0.7,0.8,0.7,0.8,20.0,1.0 0.7 0.8 0.7 0.8 20.0
1.0,0.7,0.8,0.8,0.4,20.0,1.0 0.7 0.8 0.8 0.4 20.0
1.0,0.7,0.8,0.8,0.5,20.0,1.0 0.7 0.8 0.8 0.5 20.0
1.0,0.7,0.8,0.8,0.6,20.0,1.0 0.7 0.8 0.8 0.6 20.0
1.0,0.7,0.8,0.8,0.7,20.0,1.0 0.7 0.8 0.8 0.7 20.0
1.0,0.7,0.8,0.8,0.8,20.0,1.0 0.7 0.8 0.8 0.8 20.0
1.0,0.7,0.7,0.4,0.4,20.0,1.0 0.7 0.7 0.4 0.4 20.0
1.0,0.7,0.7,0.4,0.5,20.0,1.0 0.7 0.7 0.4 0.5 20.0
1.0,0.7,0.7,0.4,0.6,20.0,1.0 0.7 0.7 0.4 0.6 20.0
1.0,0.7,0.7,0.4,0.7,20.0,1.0 0.7 0.7 0.4 0.7 20.0
1.0,0.7,0.7,0.4,0.8,20.0,1.0 0.7 0.7 0.4 0.8 20.0
1.0,0.7,0.7,0.5,0.4,20.0,1.0 0.7 0.7 0.5 0.4 20.0
1.0,0.7,0.7,0.5,0.5,20.0,1.0 0.7 0.7 0.5 0.5 20.0
1.0,0.7,0.7,0.5,0.6,20.0,1.0 0.7 0.7 0.5 0.6 20.0
1.0,0.7,0.7,0.5,0.7,20.0,1.0 0.7 0.7 0.5 0.7 20.0
1.0,0.7,0.7,0.5,0.8,20.0,1.0 0.7 0.7 0.5 0.8 20.0
1.0,0.7,0.7,0.6,0.4,20.0,1.0 0.7 0.7 0.6 0.4 20.0
1.0,0.7,0.7,0.6,0.5,20.0,1.0 0.7 0.7 0.6 0.5 20.0
1.0,0.7,0.7,0.6,0.6,20.0,1.0 0.7 0.7 0.6 0.6 20.0
1.0,0.7,0.7,0.6,0.7,20.0,1.0 0.7 0.7 0.6 0.7 20.0
1.0,0.7,0.7,0.6,0.8,20.0,1.0 0.7 0.7 0.6 0.8 20.0
1.0,0.7,0.7,0.7,0.4,20.0,1.0 0.7 0.7 0.7 0.4 20.0
1.0,0.7,0.7,0.7,0.5,20.0,1.0 0.7 0.7 0.7 0.5 20.0
1.0,0.7,0.7,0.7,0.6,20.0,1.0 0.7 0.7 0.7 0.6 20.0
1.0,0.7,0.7,0.7,0.7,20.0,1.0 0.7 0.7 0.7 0.7 20.0
1.0,0.7,0.7,0.7,0.8,20.0,1.0 0.7 0.7 0.7 0.8 20.0
1.0,0.7,0.7,0.8,0.4,20.0,1.0 0.7 0.7 0.8 0.4 20.0
1.0,0.7,0.7,0.8,0.5,20.0,1.0 0.7 0.7 0.8 0.5 20.0
1.0,0.7,0.7,0.8,0.6,20.0,1.0 0.7 0.7 0.8 0.6 20.0
1.0,0.7,0.7,0.8,0.7,20.0,1.0 0.7 0.7 0.8 0.7 20.0
1.0,0.7,0.7,0.8,0.8,20.0,1.0 0.7 0.7 0.8 0.8 20.0
1.0,0.7,0.6,0.4,0.4,20.0,1.0 0.7 0.6 0.4 0.4 20.0
1.0,0.7,0.6,0.4,0.5,20.0,1.0 0.7 0.6 0.4 0.5 20.0
1.0,0.7,0.6,0.4,0.6,20.0,1.0 0.7 0.6 0.4 0.6 20.0
1.0,0.7,0.6,0.4,0.7,20.0,1.0 0.7 0.6 0.4 0.7 20.0
1.0,0.7,0.6,0.4,0.8,20.0,1.0 0.7 0.6 0.4 0.8 20.0
1.0,0.7,0.6,0.5,0.4,20.0,1.0 0.7 0.6 0.5 0.4 20.0
1.0,0.7,0.6,0.5,0.5,20.0,1.0 0.7 0.6 0.5 0.5 20.0
1.0,0.7,0.6,0.5,0.6,20.0,1.0 0.7 0.6 0.5 0.6 20.0
1.0,0.7,0.6,0.5,0.7,20.0,1.0 0.7 0.6 0.5 0.7 20.0
1.0,0.7,0.6,0.5,0.8,20.0,1.0 0.7 0.6 0.5 0.8 20.0
1.0,0.7,0.6,0.6,0.4,20.0,1.0 0.7 0.6 0.6 0.4 20.0
1.0,0.7,0.6,0.6,0.5,20.0,1.0 0.7 0.6 0.6 0.5 20.0
1.0,0.7,0.6,0.6,0.6,20.0,1.0 0.7 0.6 0.6 0.6 20.0
1.0,0.7,0.6,0.6,0.7,20.0,1.0 0.7 0.6 0.6 0.7 20.0
1.0,0.7,0.6,0.6,0.8,20.0,1.0 0.7 0.6 0.6 0.8 20.0
1.0,0.7,0.6,0.7,0.4,20.0,1.0 0.7 0.6 0.7 0.4 20.0
1.0,0.7,0.6,0.7,0.5,20.0,1.0 0.7 0.6 0.7 0.5 20.0
1.0,0.7,0.6,0.7,0.6,20.0,1.0 0.7 0.6 0.7 0.6 20.0
1.0,0.7,0.6,0.7,0.7,20.0,1.0 0.7 0.6 0.7 0.7 20.0
1.0,0.7,0.6,0.7,0.8,20.0,1.0 0.7 0.6 0.7 0.8 20.0
1.0,0.7,0.6,0.8,0.4,20.0,1.0 0.7 0.6 0.8 0.4 20.0
1.0,0.7,0.6,0.8,0.5,20.0,1.0 0.7 0.6 0.8 0.5 20.0
1.0,0.7,0.6,0.8,0.6,20.0,1.0 0.7 0.6 0.8 0.6 20.0
1.0,0.7,0.6,0.8,0.7,20.0,1.0 0.7 0.6 0.8 0.7 20.0
1.0,0.7,0.6,0.8,0.8,20.0,1.0 0.7 0.6 0.8 0.8 20.0
1.0,0.7,0.5,0.4,0.4,20.0,1.0 0.7 0.5 0.4 0.4 20.0
1.0,0.7,0.5,0.4,0.5,20.0,1.0 0.7 0.5 0.4 0.5 20.0
1.0,0.7,0.5,0.4,0.6,20.0,1.0 0.7 0.5 0.4 0.6 20.0
1.0,0.7,0.5,0.4,0.7,20.0,1.0 0.7 0.5 0.4 0.7 20.0
1.0,0.7,0.5,0.4,0.8,20.0,1.0 0.7 0.5 0.4 0.8 20.0
1.0,0.7,0.5,0.5,0.4,20.0,1.0 0.7 0.5 0.5 0.4 20.0
1.0,0.7,0.5,0.5,0.5,20.0,1.0 0.7 0.5 0.5 0.5 20.0
1.0,0.7,0.5,0.5,0.6,20.0,1.0 0.7 0.5 0.5 0.6 20.0
1.0,0.7,0.5,0.5,0.7,20.0,1.0 0.7 0.5 0.5 0.7 20.0
1.0,0.7,0.5,0.5,0.8,20.0,1.0 0.7 0.5 0.5 0.8 20.0
1.0,0.7,0.5,0.6,0.4,20.0,1.0 0.7 0.5 0.6 0.4 20.0
1.0,0.7,0.5,0.6,0.5,20.0,1.0 0.7 0.5 0.6 0.5 20.0
1.0,0.7,0.5,0.6,0.6,20.0,1.0 0.7 0.5 0.6 0.6 20.0
1.0,0.7,0.5,0.6,0.7,20.0,1.0 0.7 0.5 0.6 0.7 20.0
1.0,0.7,0.5,0.6,0.8,20.0,1.0 0.7 0.5 0.6 0.8 20.0
1.0,0.7,0.5,0.7,0.4,20.0,1.0 0.7 0.5 0.7 0.4 20.0
1.0,0.7,0.5,0.7,0.5,20.0,1.0 0.7 0.5 0.7 0.5 20.0
1.0,0.7,0.5,0.7,0.6,20.0,1.0 0.7 0.5 0.7 0.6 20.0
1.0,0.7,0.5,0.7,0.7,20.0,1.0 0.7 0.5 0.7 0.7 20.0
1.0,0.7,0.5,0.7,0.8,20.0,1.0 0.7 0.5 0.7 0.8 20.0
1.0,0.7,0.5,0.8,0.4,20.0,1.0 0.7 0.5 0.8 0.4 20.0
1.0,0.7,0.5,0.8,0.5,20.0,1.0 0.7 0.5 0.8 0.5 20.0
1.0,0.7,0.5,0.8,0.6,20.0,1.0 0.7 0.5 0.8 0.6 20.0
1.0,0.7,0.5,0.8,0.7,20.0,1.0 0.7 0.5 0.8 0.7 20.0
1.0,0.7,0.5,0.8,0.8,20.0,1.0 0.7 0.5 0.8 0.8 20.0
1.0,0.7,0.4,0.4,0.4,20.0,1.0 0.7 0.4 0.4 0.4 20.0
1.0,0.7,0.4,0.4,0.5,20.0,1.0 0.7 0.4 0.4 0.5 20.0
1.0,0.7,0.4,0.4,0.6,20.0,1.0 0.7 0.4 0.4 0.6 20.0
1.0,0.7,0.4,0.4,0.7,20.0,1.0 0.7 0.4 0.4 0.7 20.0
1.0,0.7,0.4,0.4,0.8,20.0,1.0 0.7 0.4 0.4 0.8 20.0
1.0,0.7,0.4,0.5,0.4,20.0,1.0 0.7 0.4 0.5 0.4 20.0
1.0,0.7,0.4,0.5,0.5,20.0,1.0 0.7 0.4 0.5 0.5 20.0
1.0,0.7,0.4,0.5,0.6,20.0,1.0 0.7 0.4 0.5 0.6 20.0
1.0,0.7,0.4,0.5,0.7,20.0,1.0 0.7 0.4 0.5 0.7 20.0
1.0,0.7,0.4,0.5,0.8,20.0,1.0 0.7 0.4 0.5 0.8 20.0
1.0,0.7,0.4,0.6,0.4,20.0,1.0 0.7 0.4 0.6 0.4 20.0
1.0,0.7,0.4,0.6,0.5,20.0,1.0 0.7 0.4 0.6 0.5 20.0
1.0,0.7,0.4,0.6,0.6,20.0,1.0 0.7 0.4 0.6 0.6 20.0
1.0,0.7,0.4,0.6,0.7,20.0,1.0 0.7 0.4 0.6 0.7 20.0
1.0,0.7,0.4,0.6,0.8,20.0,1.0 0.7 0.4 0.6 0.8 20.0
1.0,0.7,0.4,0.7,0.4,20.0,1.0 0.7 0.4 0.7 0.4 20.0
1.0,0.7,0.4,0.7,0.5,20.0,1.0 0.7 0.4 0.7 0.5 20.0
1.0,0.7,0.4,0.7,0.6,20.0,1.0 0.7 0.4 0.7 0.6 20.0
1.0,0.7,0.4,0.7,0.7,20.0,1.0 0.7 0.4 0.7 0.7 20.0
1.0,0.7,0.4,0.7,0.8,20.0,1.0 0.7 0.4 0.7 0.8 20.0
1.0,0.7,0.4,0.8,0.4,20.0,1.0 0.7 0.4 0.8 0.4 20.0
1.0,0.7,0.4,0.8,0.5,20.0,1.0 0.7 0.4 0.8 0.5 20.0
1.0,0.7,0.4,0.8,0.6,20.0,1.0 0.7 0.4 0.8 0.6 20.0
1.0,0.7,0.4,0.8,0.7,20.0,1.0 0.7 0.4 0.8 0.7 20.0
1.0,0.7,0.4,0.8,0.8,20.0,1.0 0.7 0.4 0.8 0.8 20.0
1.0,0.8,0.8,0.4,0.4,20.0,1.0 0.8 0.8 0.4 0.4 20.0
1.0,0.8,0.8,0.4,0.5,20.0,1.0 0.8 0.8 0.4 0.5 20.0
1.0,0.8,0.8,0.4,0.6,20.0,1.0 0.8 0.8 0.4 0.6 20.0
1.0,0.8,0.8,0.4,0.7,20.0,1.0 0.8 0.8 0.4 0.7 20.0
1.0,0.8,0.8,0.4,0.8,20.0,1.0 0.8 0.8 0.4 0.8 20.0
1.0,0.8,0.8,0.5,0.4,20.0,1.0 0.8 0.8 0.5 0.4 20.0
1.0,0.8,0.8,0.5,0.5,20.0,1.0 0.8 0.8 0.5 0.5 20.0
1.0,0.8,0.8,0.5,0.6,20.0,1.0 0.8 0.8 0.5 0.6 20.0
1.0,0.8,0.8,0.5,0.7,20.0,1.0 0.8 0.8 0.5 0.7 20.0
1.0,0.8,0.8,0.5,0.8,20.0,1.0 0.8 0.8 0.5 0.8 20.0
1.0,0.8,0.8,0.6,0.4,20.0,1.0 0.8 0.8 0.6 0.4 20.0
1.0,0.8,0.8,0.6,0.5,20.0,1.0 0.8 0.8 0.6 0.5 20.0
1.0,0.8,0.8,0.6,0.6,20.0,1.0 0.8 0.8 0.6 0.6 20.0
1.0,0.8,0.8,0.6,0.7,20.0,1.0 0.8 0.8 0.6 0.7 20.0
1.0,0.8,0.8,0.6,0.8,20.0,1.0 0.8 0.8 0.6 0.8 20.0
1.0,0.8,0.8,0.7,0.4,20.0,1.0 0.8 0.8 0.7 0.4 20.0
1.0,0.8,0.8,0.7,0.5,20.0,1.0 0.8 0.8 0.7 0.5 20.0
1.0,0.8,0.8,0.7,0.6,20.0,1.0 0.8 0.8 0.7 0.6 20.0
1.0,0.8,0.8,0.7,0.7,20.0,1.0 0.8 0.8 0.7 0.7 20.0
1.0,0.8,0.8,0.7,0.8,20.0,1.0 0.8 0.8 0.7 0.8 20.0
1.0,0.8,0.8,0.8,0.4,20.0,1.0 0.8 0.8 0.8 0.4 20.0
1.0,0.8,0.8,0.8,0.5,20.0,1.0 0.8 0.8 0.8 0.5 20.0
1.0,0.8,0.8,0.8,0.6,20.0,1.0 0.8 0.8 0.8 0.6 20.0
1.0,0.8,0.8,0.8,0.7,20.0,1.0 0.8 0.8 0.8 0.7 20.0
1.0,0.8,0.8,0.8,0.8,20.0,1.0 0.8 0.8 0.8 0.8 20.0
1.0,0.8,0.7,0.4,0.4,20.0,1.0 0.8 0.7 0.4 0.4 20.0
1.0,0.8,0.7,0.4,0.5,20.0,1.0 0.8 0.7 0.4 0.5 20.0
1.0,0.8,0.7,0.4,0.6,20.0,1.0 0.8 0.7 0.4 0.6 20.0
1.0,0.8,0.7,0.4,0.7,20.0,1.0 0.8 0.7 0.4 0.7 20.0
1.0,0.8,0.7,0.4,0.8,20.0,1.0 0.8 0.7 0.4 0.8 20.0
1.0,0.8,0.7,0.5,0.4,20.0,1.0 0.8 0.7 0.5 0.4 20.0
1.0,0.8,0.7,0.5,0.5,20.0,1.0 0.8 0.7 0.5 0.5 20.0
1.0,0.8,0.7,0.5,0.6,20.0,1.0 0.8 0.7 0.5 0.6 20.0
1.0,0.8,0.7,0.5,0.7,20.0,1.0 0.8 0.7 0.5 0.7 20.0
1.0,0.8,0.7,0.5,0.8,20.0,1.0 0.8 0.7 0.5 0.8 20.0
1.0,0.8,0.7,0.6,0.4,20.0,1.0 0.8 0.7 0.6 0.4 20.0
1.0,0.8,0.7,0.6,0.5,20.0,1.0 0.8 0.7 0.6 0.5 20.0
1.0,0.8,0.7,0.6,0.6,20.0,1.0 0.8 0.7 0.6 0.6 20.0
1.0,0.8,0.7,0.6,0.7,20.0,1.0 0.8 0.7 0.6 0.7 20.0
1.0,0.8,0.7,0.6,0.8,20.0,1.0 0.8 0.7 0.6 0.8 20.0
1.0,0.8,0.7,0.7,0.4,20.0,1.0 0.8 0.7 0.7 0.4 20.0
1.0,0.8,0.7,0.7,0.5,20.0,1.0 0.8 0.7 0.7 0.5 20.0
1.0,0.8,0.7,0.7,0.6,20.0,1.0 0.8 0.7 0.7 0.6 20.0
1.0,0.8,0.7,0.7,0.7,20.0,1.0 0.8 0.7 0.7 0.7 20.0
1.0,0.8,0.7,0.7,0.8,20.0,1.0 0.8 0.7 0.7 0.8 20.0
1.0,0.8,0.7,0.8,0.4,20.0,1.0 0.8 0.7 0.8 0.4 20.0
1.0,0.8,0.7,0.8,0.5,20.0,1.0 0.8 0.7 0.8 0.5 20.0
1.0,0.8,0.7,0.8,0.6,20.0,1.0 0.8 0.7 0.8 0.6 20.0
1.0,0.8,0.7,0.8,0.7,20.0,1.0 0.8 0.7 0.8 0.7 20.0
1.0,0.8,0.7,0.8,0.8,20.0,1.0 0.8 0.7 0.8 0.8 20.0
1.0,0.8,0.6,0.4,0.4,20.0,1.0 0.8 0.6 0.4 0.4 20.0
1.0,0.8,0.6,0.4,0.5,20.0,1.0 0.8 0.6 0.4 0.5 20.0
1.0,0.8,0.6,0.4,0.6,20.0,1.0 0.8 0.6 0.4 0.6 20.0
1.0,0.8,0.6,0.4,0.7,20.0,1.0 0.8 0.6 0.4 0.7 20.0
1.0,0.8,0.6,0.4,0.8,20.0,1.0 0.8 0.6 0.4 0.8 20.0
1.0,0.8,0.6,0.5,0.4,20.0,1.0 0.8 0.6 0.5 0.4 20.0
1.0,0.8,0.6,0.5,0.5,20.0,1.0 0.8 0.6 0.5 0.5 20.0
1.0,0.8,0.6,0.5,0.6,20.0,1.0 0.8 0.6 0.5 0.6 20.0
1.0,0.8,0.6,0.5,0.7,20.0,1.0 0.8 0.6 0.5 0.7 20.0
1.0,0.8,0.6,0.5,0.8,20.0,1.0 0.8 0.6 0.5 0.8 20.0
1.0,0.8,0.6,0.6,0.4,20.0,1.0 0.8 0.6 0.6 0.4 20.0
1.0,0.8,0.6,0.6,0.5,20.0,1.0 0.8 0.6 0.6 0.5 20.0
1.0,0.8,0.6,0.6,0.7,20.0,1.0 0.8 0.6 0.6 0.7 20.0
1.0,0.8,0.6,0.6,0.8,20.0,1.0 0.8 0.6 0.6 0.8 20.0
1.0,0.8,0.6,0.7,0.4,20.0,1.0 0.8 0.6 0.7 0.4 20.0
1.0,0.8,0.6,0.7,0.5,20.0,1.0 0.8 0.6 0.7 0.5 20.0
1.0,0.8,0.6,0.7,0.6,20.0,1.0 0.8 0.6 0.7 0.6 20.0
1.0,0.8,0.6,0.7,0.7,20.0,1.0 0.8 0.6 0.7 0.7 20.0
1.0,0.8,0.6,0.7,0.8,20.0,1.0 0.8 0.6 0.7 0.8 20.0
1.0,0.8,0.6,0.8,0.4,20.0,1.0 0.8 0.6 0.8 0.4 20.0
1.0,0.8,0.6,0.8,0.5,20.0,1.0 0.8 0.6 0.8 0.5 20.0
1.0,0.8,0.6,0.8,0.6,20.0,1.0 0.8 0.6 0.8 0.6 20.0
1.0,0.8,0.6,0.8,0.7,20.0,1.0 0.8 0.6 0.8 0.7 20.0
1.0,0.8,0.6,0.8,0.8,20.0,1.0 0.8 0.6 0.8 0.8 20.0
1.0,0.8,0.5,0.4,0.4,20.0,1.0 0.8 0.5 0.4 0.4 20.0
1.0,0.8,0.5,0.4,0.5,20.0,1.0 0.8 0.5 0.4 0.5 20.0
1.0,0.8,0.5,0.4,0.6,20.0,1.0 0.8 0.5 0.4 0.6 20.0
1.0,0.8,0.5,0.4,0.7,20.0,1.0 0.8 0.5 0.4 0.7 20.0
1.0,0.8,0.5,0.4,0.8,20.0,1.0 0.8 0.5 0.4 0.8 20.0
1.0,0.8,0.5,0.5,0.4,20.0,1.0 0.8 0.5 0.5 0.4 20.0
1.0,0.8,0.5,0.5,0.5,20.0,1.0 0.8 0.5 0.5 0.5 20.0
1.0,0.8,0.5,0.5,0.6,20.0,1.0 0.8 0.5 0.5 0.6 20.0
1.0,0.8,0.5,0.5,0.7,20.0,1.0 0.8 0.5 0.5 0.7 20.0
1.0,0.8,0.5,0.5,0.8,20.0,1.0 0.8 0.5 0.5 0.8 20.0
1.0,0.8,0.5,0.6,0.4,20.0,1.0 0.8 0.5 0.6 0.4 20.0
1.0,0.8,0.5,0.6,0.5,20.0,1.0 0.8 0.5 0.6 0.5 20.0
1.0,0.8,0.5,0.6,0.6,20.0,1.0 0.8 0.5 0.6 0.6 20.0
1.0,0.8,0.5,0.6,0.7,20.0,1.0 0.8 0.5 0.6 0.7 20.0
1.0,0.8,0.5,0.6,0.8,20.0,1.0 0.8 0.5 0.6 0.8 20.0
1.0,0.8,0.5,0.7,0.4,20.0,1.0 0.8 0.5 0.7 0.4 20.0
1.0,0.8,0.5,0.7,0.5,20.0,1.0 0.8 0.5 0.7 0.5 20.0
1.0,0.8,0.5,0.7,0.6,20.0,1.0 0.8 0.5 0.7 0.6 20.0
1.0,0.8,0.5,0.7,0.7,20.0,1.0 0.8 0.5 0.7 0.7 20.0
1.0,0.8,0.5,0.7,0.8,20.0,1.0 0.8 0.5 0.7 0.8 20.0
1.0,0.8,0.5,0.8,0.4,20.0,1.0 0.8 0.5 0.8 0.4 20.0
1.0,0.8,0.5,0.8,0.5,20.0,1.0 0.8 0.5 0.8 0.5 20.0
1.0,0.8,0.5,0.8,0.6,20.0,1.0 0.8 0.5 0.8 0.6 20.0
1.0,0.8,0.5,0.8,0.7,20.0,1.0 0.8 0.5 0.8 0.7 20.0
1.0,0.8,0.5,0.8,0.8,20.0,1.0 0.8 0.5 0.8 0.8 20.0
1.0,0.8,0.4,0.4,0.4,20.0,1.0 0.8 0.4 0.4 0.4 20.0
1.0,0.8,0.4,0.4,0.5,20.0,1.0 0.8 0.4 0.4 0.5 20.0
1.0,0.8,0.4,0.4,0.6,20.0,1.0 0.8 0.4 0.4 0.6 20.0
1.0,0.8,0.4,0.4,0.7,20.0,1.0 0.8 0.4 0.4 0.7 20.0
1.0,0.8,0.4,0.4,0.8,20.0,1.0 0.8 0.4 0.4 0.8 20.0
1.0,0.8,0.4,0.5,0.4,20.0,1.0 0.8 0.4 0.5 0.4 20.0
1.0,0.8,0.4,0.5,0.5,20.0,1.0 0.8 0.4 0.5 0.5 20.0
1.0,0.8,0.4,0.5,0.6,20.0,1.0 0.8 0.4 0.5 0.6 20.0
1.0,0.8,0.4,0.5,0.7,20.0,1.0 0.8 0.4 0.5 0.7 20.0
1.0,0.8,0.4,0.5,0.8,20.0,1.0 0.8 0.4 0.5 0.8 20.0
1.0,0.8,0.4,0.6,0.4,20.0,1.0 0.8 0.4 0.6 0.4 20.0
1.0,0.8,0.4,0.6,0.5,20.0,1.0 0.8 0.4 0.6 0.5 20.0
1.0,0.8,0.4,0.6,0.6,20.0,1.0 0.8 0.4 0.6 0.6 20.0
1.0,0.8,0.4,0.6,0.7,20.0,1.0 0.8 0.4 0.6 0.7 20.0
1.0,0.8,0.4,0.6,0.8,20.0,1.0 0.8 0.4 0.6 0.8 20.0
1.0,0.8,0.4,0.7,0.4,20.0,1.0 0.8 0.4 0.7 0.4 20.0
1.0,0.8,0.4,0.7,0.5,20.0,1.0 0.8 0.4 0.7 0.5 20.0
1.0,0.8,0.4,0.7,0.6,20.0,1.0 0.8 0.4 0.7 0.6 20.0
1.0,0.8,0.4,0.7,0.7,20.0,1.0 0.8 0.4 0.7 0.7 20.0
1.0,0.8,0.4,0.7,0.8,20.0,1.0 0.8 0.4 0.7 0.8 20.0
1.0,0.8,0.4,0.8,0.4,20.0,1.0 0.8 0.4 0.8 0.4 20.0
1.0,0.8,0.4,0.8,0.5,20.0,1.0 0.8 0.4 0.8 0.5 20.0
1.0,0.8,0.4,0.8,0.6,20.0,1.0 0.8 0.4 0.8 0.6 20.0
1.0,0.8,0.4,0.8,0.7,20.0,1.0 0.8 0.4 0.8 0.7 20.0
1.0,0.8,0.4,0.8,0.8,20.0,1.0 0.8 0.4 0.8 0.8 20.0
1.0,0.9,0.8,0.4,0.4,20.0,1.0 0.9 0.8 0.4 0.4 20.0
1.0,0.9,0.8,0.4,0.5,20.0,1.0 0.9 0.8 0.4 0.5 20.0
1.0,0.9,0.8,0.4,0.6,20.0,1.0 0.9 0.8 0.4 0.6 20.0
1.0,0.9,0.8,0.4,0.7,20.0,1.0 0.9 0.8 0.4 0.7 20.0
1.0,0.9,0.8,0.4,0.8,20.0,1.0 0.9 0.8 0.4 0.8 20.0
1.0,0.9,0.8,0.5,0.4,20.0,1.0 0.9 0.8 0.5 0.4 20.0
1.0,0.9,0.8,0.5,0.5,20.0,1.0 0.9 0.8 0.5 0.5 20.0
1.0,0.9,0.8,0.5,0.6,20.0,1.0 0.9 0.8 0.5 0.6 20.0
1.0,0.9,0.8,0.5,0.7,20.0,1.0 0.9 0.8 0.5 0.7 20.0
1.0,0.9,0.8,0.5,0.8,20.0,1.0 0.9 0.8 0.5 0.8 20.0
1.0,0.9,0.8,0.6,0.4,20.0,1.0 0.9 0.8 0.6 0.4 20.0
1.0,0.9,0.8,0.6,0.5,20.0,1.0 0.9 0.8 0.6 0.5 20.0
1.0,0.9,0.8,0.6,0.6,20.0,1.0 0.9 0.8 0.6 0.6 20.0
1.0,0.9,0.8,0.6,0.7,20.0,1.0 0.9 0.8 0.6 0.7 20.0
1.0,0.9,0.8,0.6,0.8,20.0,1.0 0.9 0.8 0.6 0.8 20.0
1.0,0.9,0.8,0.7,0.4,20.0,1.0 0.9 0.8 0.7 0.4 20.0
1.0,0.9,0.8,0.7,0.5,20.0,1.0 0.9 0.8 0.7 0.5 20.0
1.0,0.9,0.8,0.7,0.6,20.0,1.0 0.9 0.8 0.7 0.6 20.0
1.0,0.9,0.8,0.7,0.7,20.0,1.0 0.9 0.8 0.7 0.7 20.0
1.0,0.9,0.8,0.7,0.8,20.0,1.0 0.9 0.8 0.7 0.8 20.0
1.0,0.9,0.8,0.8,0.4,20.0,1.0 0.9 0.8 0.8 0.4 20.0
1.0,0.9,0.8,0.8,0.5,20.0,1.0 0.9 0.8 0.8 0.5 20.0
1.0,0.9,0.8,0.8,0.6,20.0,1.0 0.9 0.8 0.8 0.6 20.0
1.0,0.9,0.8,0.8,0.7,20.0,1.0 0.9 0.8 0.8 0.7 20.0
1.0,0.9,0.8,0.8,0.8,20.0,1.0 0.9 0.8 0.8 0.8 20.0
1.0,0.9,0.7,0.4,0.4,20.0,1.0 0.9 0.7 0.4 0.4 20.0
1.0,0.9,0.7,0.4,0.5,20.0,1.0 0.9 0.7 0.4 0.5 20.0
1.0,0.9,0.7,0.4,0.6,20.0,1.0 0.9 0.7 0.4 0.6 20.0
1.0,0.9,0.7,0.4,0.7,20.0,1.0 0.9 0.7 0.4 0.7 20.0
1.0,0.9,0.7,0.4,0.8,20.0,1.0 0.9 0.7 0.4 0.8 20.0
1.0,0.9,0.7,0.5,0.4,20.0,1.0 0.9 0.7 0.5 0.4 20.0
1.0,0.9,0.7,0.5,0.5,20.0,1.0 0.9 0.7 0.5 0.5 20.0
1.0,0.9,0.7,0.5,0.6,20.0,1.0 0.9 0.7 0.5 0.6 20.0
1.0,0.9,0.7,0.5,0.7,20.0,1.0 0.9 0.7 0.5 0.7 20.0
1.0,0.9,0.7,0.5,0.8,20.0,1.0 0.9 0.7 0.5 0.8 20.0
1.0,0.9,0.7,0.6,0.4,20.0,1.0 0.9 0.7 0.6 0.4 20.0
1.0,0.9,0.7,0.6,0.5,20.0,1.0 0.9 0.7 0.6 0.5 20.0
1.0,0.9,0.7,0.6,0.6,20.0,1.0 0.9 0.7 0.6 0.6 20.0
1.0,0.9,0.7,0.6,0.7,20.0,1.0 0.9 0.7 0.6 0.7 20.0
1.0,0.9,0.7,0.6,0.8,20.0,1.0 0.9 0.7 0.6 0.8 20.0
1.0,0.9,0.7,0.7,0.4,20.0,1.0 0.9 0.7 0.7 0.4 20.0
1.0,0.9,0.7,0.7,0.5,20.0,1.0 0.9 0.7 0.7 0.5 20.0
1.0,0.9,0.7,0.7,0.6,20.0,1.0 0.9 0.7 0.7 0.6 20.0
1.0,0.9,0.7,0.7,0.7,20.0,1.0 0.9 0.7 0.7 0.7 20.0
1.0,0.9,0.7,0.7,0.8,20.0,1.0 0.9 0.7 0.7 0.8 20.0
1.0,0.9,0.7,0.8,0.4,20.0,1.0 0.9 0.7 0.8 0.4 20.0
1.0,0.9,0.7,0.8,0.5,20.0,1.0 0.9 0.7 0.8 0.5 20.0
1.0,0.9,0.7,0.8,0.6,20.0,1.0 0.9 0.7 0.8 0.6 20.0
1.0,0.9,0.7,0.8,0.7,20.0,1.0 0.9 0.7 0.8 0.7 20.0
1.0,0.9,0.7,0.8,0.8,20.0,1.0 0.9 0.7 0.8 0.8 20.0
1.0,0.9,0.6,0.4,0.4,20.0,1.0 0.9 0.6 0.4 0.4 20.0
1.0,0.9,0.6,0.4,0.5,20.0,1.0 0.9 0.6 0.4 0.5 20.0
1.0,0.9,0.6,0.4,0.6,20.0,1.0 0.9 0.6 0.4 0.6 20.0
1.0,0.9,0.6,0.4,0.7,20.0,1.0 0.9 0.6 0.4 0.7 20.0
1.0,0.9,0.6,0.4,0.8,20.0,1.0 0.9 0.6 0.4 0.8 20.0
1.0,0.9,0.6,0.5,0.4,20.0,1.0 0.9 0.6 0.5 0.4 20.0
1.0,0.9,0.6,0.5,0.5,20.0,1.0 0.9 0.6 0.5 0.5 20.0
1.0,0.9,0.6,0.5,0.6,20.0,1.0 0.9 0.6 0.5 0.6 20.0
1.0,0.9,0.6,0.5,0.7,20.0,1.0 0.9 0.6 0.5 0.7 20.0
1.0,0.9,0.6,0.5,0.8,20.0,1.0 0.9 0.6 0.5 0.8 20.0
1.0,0.9,0.6,0.6,0.4,20.0,1.0 0.9 0.6 0.6 0.4 20.0
